dataset_fold_id,Accuracy__test_neural,Accuracy__test_non-neural,F1__test_neural,F1__test_non-neural,MSE__test_neural,MSE__test_non-neural,Log Loss__test_neural,Log Loss__test_non-neural,alg_name_neural,alg_name_non-neural,time__train_neural,time__train_non-neural,time__test_neural,time__test_non-neural
openml__segment__146822__fold_5,0.922077922077922,0.935064935064935,0.9221090270178628,0.9352508188329084,,,0.1522245745249929,0.1666384749480371,DANet,CatBoost,83.18092400800015,1.2274667689999887,0.0345124890009174,0.0048065820000147
openml__segment__146822__fold_6,0.9177489177489178,0.9437229437229436,0.9166774866013484,0.9433609136692984,,,0.2625898665300307,0.1652296592878648,DANet,CatBoost,58.860969982999904,1.2347686289999729,0.0245674310001504,0.0049615109999194
openml__segment__146822__fold_7,0.9134199134199136,0.9264069264069263,0.9129695371299203,0.9260662571323144,,,0.3083871219453782,0.2864680645077078,TabNet,XGBoost,81.39556117099983,0.5313348239999982,0.0364265790003628,0.0058138859999985
openml__segment__146822__fold_8,0.9307359307359307,0.9264069264069263,0.9312354550701673,0.925846955697702,,,0.1525240390939592,0.1932496534870443,TabNet,RandomForest,48.09203339499982,0.5107525840000022,0.0223943430009967,0.0438341349999973
openml__segment__146822__fold_9,0.9177489177489178,0.8874458874458875,0.9177960759770518,0.8872833049303639,,,0.2565825705418221,0.2435389731879802,DANet,CatBoost,150.8609088490011,1.5156072859999767,0.0368191190009383,0.0049040580000792
openml__semeion__9964__fold_0,0.90625,0.95625,0.9057576306384624,0.9563831867057676,,,0.3068445520501346,0.1963311294003991,VIME,SVM,25.18634510999982,4.149025193000057,0.0449536359997182,0.1375962399999934
openml__semeion__9964__fold_1,0.95625,0.9625,0.9565502990052328,0.9629816017316016,,,0.2303211042864376,0.1798215929066212,DANet,SVM,71.28524819500126,4.222239516000002,0.0476068199986912,0.1417470460000061
openml__semeion__9964__fold_2,0.95,0.95,0.9499031865312104,0.9501291719033657,,,0.1660837535421542,0.1683877297086288,VIME,SVM,26.01050578200011,4.3647305030000325,0.0517648029999691,0.1447759680000899
openml__semeion__9964__fold_3,0.9433962264150944,0.949685534591195,0.9439271162088104,0.9500000180820776,,,0.2082399247117551,0.193207215342563,STG,SVM,21.42709066800012,4.500243540999918,0.0016109159998904,0.1409903530000065
openml__semeion__9964__fold_4,0.9308176100628932,0.9559748427672956,0.9303654957748356,0.9553465267403186,,,0.3365621967854982,0.1876068462383328,DANet,SVM,81.93419814699973,4.589968340000013,0.0520880909998595,0.1430510920000074
